import_id,model_import_id,name,normalized_name,model_year,fuel_type,engine,source_key
1,1,Integra GS 1.8,INTEGRA GS 1.8,1991,Gasolina,1.8,1/1/1991-1
2,1,Integra GS 1.8,INTEGRA GS 1.8,1992,Gasolina,1.8,1/1/1992-1
3,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1991,Gasolina,3.2,1/2/1991-1
4,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1992,Gasolina,3.2,1/2/1992-1
5,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1993,Gasolina,3.2,1/2/1993-1
6,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1994,Gasolina,3.2,1/2/1994-1
7,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1995,Gasolina,3.2,1/2/1995-1
8,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1996,Gasolina,3.2,1/2/1996-1
9,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1997,Gasolina,3.2,1/2/1997-1
10,2,Legend 3.2/3.5,LEGEND 3.2/3.5,1998,Gasolina,3.2,1/2/1998-1
11,3,NSX 3.0,NSX 3.0,1991,Gasolina,3.0,1/3/1991-1
12,3,NSX 3.0,NSX 3.0,1992,Gasolina,3.0,1/3/1992-1
13,3,NSX 3.0,NSX 3.0,1993,Gasolina,3.0,1/3/1993-1
14,3,NSX 3.0,NSX 3.0,1994,Gasolina,3.0,1/3/1994-1
15,3,NSX 3.0,NSX 3.0,1995,Gasolina,3.0,1/3/1995-1
16,4,MARRUÁ 2.8 12V 132cv TDI Diesel,MARRUA 2.8 12V 132CV TDI DIESEL,2004,Diesel,2.8,2/4/2004-3
17,4,MARRUÁ 2.8 12V 132cv TDI Diesel,MARRUA 2.8 12V 132CV TDI DIESEL,2005,Diesel,2.8,2/4/2005-3
18,4,MARRUÁ 2.8 12V 132cv TDI Diesel,MARRUA 2.8 12V 132CV TDI DIESEL,2006,Diesel,2.8,2/4/2006-3
19,4,MARRUÁ 2.8 12V 132cv TDI Diesel,MARRUA 2.8 12V 132CV TDI DIESEL,2007,Diesel,2.8,2/4/2007-3
20,5,145 Elegant 1.7/1.8 16V,145 ELEGANT 1.7/1.8 16V,1996,Gasolina,1.7,3/5/1996-1
21,5,145 Elegant 1.7/1.8 16V,145 ELEGANT 1.7/1.8 16V,1997,Gasolina,1.7,3/5/1997-1
22,5,145 Elegant 1.7/1.8 16V,145 ELEGANT 1.7/1.8 16V,1998,Gasolina,1.7,3/5/1998-1
23,5,145 Elegant 1.7/1.8 16V,145 ELEGANT 1.7/1.8 16V,1999,Gasolina,1.7,3/5/1999-1
24,5,145 Elegant 2.0 16V,145 ELEGANT 2.0 16V,1995,Gasolina,2.0,3/6/1995-1
25,5,145 Elegant 2.0 16V,145 ELEGANT 2.0 16V,1996,Gasolina,2.0,3/6/1996-1
26,5,145 Elegant 2.0 16V,145 ELEGANT 2.0 16V,1997,Gasolina,2.0,3/6/1997-1
27,5,145 Elegant 2.0 16V,145 ELEGANT 2.0 16V,1998,Gasolina,2.0,3/6/1998-1
28,5,145 Quadrifoglio 2.0,145 QUADRIFOGLIO 2.0,1996,Gasolina,2.0,3/7/1996-1
29,5,145 Quadrifoglio 2.0,145 QUADRIFOGLIO 2.0,1997,Gasolina,2.0,3/7/1997-1
30,5,145 Quadrifoglio 2.0,145 QUADRIFOGLIO 2.0,1998,Gasolina,2.0,3/7/1998-1
31,5,145 Quadrifoglio 2.0,145 QUADRIFOGLIO 2.0,1999,Gasolina,2.0,3/7/1999-1
32,5,145 QV,145 QV,1996,Gasolina,,3/8/1996-1
33,5,145 QV,145 QV,1997,Gasolina,,3/8/1997-1
34,5,145 QV,145 QV,1998,Gasolina,,3/8/1998-1
