import_id,name,normalized_name,source_key
1,ACURA,ACURA,1
2,AGRALE,AGRALE,2
3,ALFA ROMEO,ALFA ROMEO,3
4,AM GEN,AM GEN,4
5,ASIA MOTORS,ASIA MOTORS,5
6,AUDI,AUDI,6
7,BMW,BMW,7
8,BRM,BRM,8
9,CADILLAC,CADILLAC,10
10,CBT JIPE,CBT JIPE,11
11,CHRYSLER,CHRYSLER,12
12,CITROËN,CITROEN,13
13,CROSS LANDER,CROSS LANDER,14
14,DAEWOO,DAEWOO,15
15,DAIHATSU,DAIHATSU,16
16,DODGE,DODGE,17
17,ENGESA,ENGESA,18
18,ENVEMO,ENVEMO,19
19,FERRARI,FERRARI,20
20,FIAT,FIAT,21
21,FORD,FORD,22
22,GM - CHEVROLET,GM - CHEVROLET,23
23,GURGEL,GURGEL,24
24,HONDA,HONDA,25
25,HYUNDAI,HYUNDAI,26
26,ISUZU,ISUZU,27
27,JAGUAR,JAGUAR,28
28,JEEP,JEEP,29
29,JPX,JPX,30
30,KIA MOTORS,KIA MOTORS,31
31,LADA,LADA,32
32,LAND ROVER,LAND ROVER,33
33,LEXUS,LEXUS,34
34,LOTUS,LOTUS,35
35,MASERATI,MASERATI,36
36,MATRA,MATRA,37
37,MAZDA,MAZDA,38
38,MERCEDES-BENZ,MERCEDES-BENZ,39
39,MERCURY,MERCURY,40
40,MITSUBISHI,MITSUBISHI,41
41,MIURA,MIURA,42
42,NISSAN,NISSAN,43
43,PEUGEOT,PEUGEOT,44
44,PLYMOUTH,PLYMOUTH,45
45,PONTIAC,PONTIAC,46
46,PORSCHE,PORSCHE,47
47,RENAULT,RENAULT,48
48,ROVER,ROVER,49
49,SAAB,SAAB,50
50,SATURN,SATURN,51
51,SEAT,SEAT,52
52,SUBARU,SUBARU,54
53,SUZUKI,SUZUKI,55
54,TOYOTA,TOYOTA,56
55,TROLLER,TROLLER,57
56,VOLVO,VOLVO,58
57,VW - VOLKSWAGEN,VW - VOLKSWAGEN,59
58,WALK,WALK,120
59,BUGRE,BUGRE,123
60,SSANGYONG,SSANGYONG,125
61,LOBINI,LOBINI,127
62,CHANA,CHANA,136
63,MAHINDRA,MAHINDRA,140
64,EFFA,EFFA,147
65,FIBRAVAN,FIBRAVAN,149
66,HAFEI,HAFEI,152
67,GREAT WALL,GREAT WALL,153
68,JINBEI,JINBEI,154
69,MINI,MINI,156
70,SMART,SMART,157
71,CHERY,CHERY,161
72,WAKE,WAKE,163
73,TAC,TAC,165
74,MG,MG,167
75,LIFAN,LIFAN,168
76,FYBER,FYBER,170
77,LAMBORGHINI,LAMBORGHINI,171
78,JAC,JAC,177
79,CHANGAN,CHANGAN,182
80,SHINERAY,SHINERAY,183
81,RAM,RAM,185
82,RELY,RELY,186
83,ASTON MARTIN,ASTON MARTIN,189
84,FOTON,FOTON,190
85,ROLLS-ROYCE,ROLLS-ROYCE,195
86,GEELY,GEELY,199
87,BABY,BABY,207
88,IVECO,IVECO,208
89,MCLAREN,MCLAREN,211
