import_id,manufacturer_import_id,name,normalized_name,source_key
1,1,Integra,INTEGRA,1
2,1,Legend,LEGEND,2
3,1,NSX,NSX,3
4,2,MARRUÁ,MARRUA,4
5,3,145,145,5
6,3,147,147,9
7,3,155,155,10
8,3,156,156,12
9,3,164,164,16
10,3,166,166,18
11,3,2300,2300,19
12,3,Spider,SPIDER,20
13,4,Hummer,HUMMER,21
14,5,AM-825,AM-825,24
15,5,Hi-Topic,HI-TOPIC,26
16,5,Jipe,JIPE,29
17,5,Topic,TOPIC,30
18,5,Towner,TOWNER,33
19,6,100,100,43
20,6,80,80,46
21,6,A3,A3,52
22,6,A4,A4,68
23,6,A6,A6,100
24,6,A8,A8,126
25,6,Allroad,ALLROAD,128
26,6,Avant,AVANT,129
27,6,RS4,RS4,130
28,6,RS6,RS6,131
29,6,S3,S3,133
30,6,S4,S4,134
31,6,S6,S6,138
32,6,S8,S8,145
33,6,TT,TT,149
34,7,120i,120I,152
35,7,120iA,120IA,153
36,7,316,316,154
37,7,318i,318I,155
38,7,318i/iA,318I/IA,156
39,7,318iS/ISA,318IS/ISA,158
40,7,318Ti,318TI,159
41,7,318Ti/TiA,318TI/TIA,160
42,7,320i,320I,161
43,7,320iA,320IA,162
44,7,323Ci,323CI,163
45,7,323CiA,323CIA,164
46,7,323i,323I,165
47,7,323iA,323IA,169
48,7,323i/iA,323I/IA,172
49,7,323Ti,323TI,176
50,7,323TiA,323TIA,178
51,7,325i,325I,179
52,7,325i/iA,325I/IA,180
53,7,325iA,325IA,181
54,7,328i,328I,184
55,7,328i/iA,328I/IA,186
56,7,328iA,328IA,189
57,7,330Ci,330CI,191
58,7,330CiA,330CIA,192
59,7,330i,330I,193
60,7,330iA,330IA,194
61,7,520i,520I,196
62,7,525i/iA,525I/IA,197
63,7,528i/iA,528I/IA,199
64,7,528iA,528IA,200
65,7,530i/iA,530I/IA,202
66,7,535i/iA,535I/IA,204
67,7,540i,540I,205
68,7,540i/iA,540I/IA,206
69,7,540iA,540IA,207
70,7,540iTA,540ITA,210
71,7,545iA,545IA,211
72,7,645iA,645IA,212
73,7,730i,730I,213
74,7,730iA,730IA,214
75,7,735i/iA,735I/IA,215
76,7,740i,740I,216
77,7,740iA,740IA,217
78,7,740iL/iLA,740IL/ILA,218
79,7,740iLA,740ILA,219
80,7,745iA,745IA,220
81,7,750i,750I,221
82,7,750iA,750IA,222
83,7,750iL,750IL,223
84,7,760iL,760IL,224
85,7,840Ci,840CI,225
86,7,840CiA,840CIA,226
87,7,850Ci/CiA,850CI/CIA,227
88,7,850CSi,850CSI,229
89,7,850i,850I,230
90,7,M,M,231
91,7,M3,M3,232
92,7,M5,M5,236
93,7,M6,M6,238
94,7,X3,X3,239
95,7,X5,X5,242
96,7,Z3,Z3,246
97,7,Z4,Z4,251
98,7,Z8,Z8,253
99,8,Buggy/M-8/M-8,BUGGY/M-8/M-8,254
100,8,Buggy,BUGGY,255
101,9,Deville/Eldorado,DEVILLE/ELDORADO,258
102,9,Seville,SEVILLE,259
103,10,Javali,JAVALI,260
104,11,300,300,261
105,11,Caravan,CARAVAN,262
106,11,Cirrus,CIRRUS,265
107,11,Grand,GRAND,266
108,11,LE,LE,270
109,11,Neon,NEON,272
110,11,PT,PT,275
111,11,Sebring,SEBRING,277
112,11,Stratus,STRATUS,278
113,11,Vision,VISION,282
114,12,AX,AX,283
115,12,Berlingo,BERLINGO,284
116,12,BX,BX,287
117,12,C3,C3,289
118,12,C5,C5,293
119,12,C8,C8,298
120,12,Evasion,EVASION,299
121,12,Jumper,JUMPER,301
122,12,Xantia,XANTIA,305
123,12,XM,XM,319
124,12,Xsara,XSARA,323
125,12,ZX,ZX,352
126,13,CL-244,CL-244,357
127,14,Espero,ESPERO,358
128,14,Lanos,LANOS,360
129,14,Leganza,LEGANZA,363
130,14,Nubira,NUBIRA,365
131,14,Prince,PRINCE,369
132,14,Racer,RACER,370
133,14,Super,SUPER,371
134,14,Tico,TICO,372
135,15,Applause,APPLAUSE,373
136,15,Charade,CHARADE,375
137,15,Cuore,CUORE,380
138,15,Feroza,FEROZA,383
139,15,Gran,GRAN,385
140,15,Move,MOVE,386
141,15,Terios,TERIOS,387
142,16,Avenger,AVENGER,388
143,16,Dakota,DAKOTA,389
144,16,Intrepid,INTREPID,393
145,16,Ram,RAM,406
146,16,Stealth,STEALTH,410
147,17,Engesa,ENGESA,411
148,18,Camper,CAMPER,413
149,18,Master,MASTER,416
150,19,348,348,417
151,19,355,355,420
152,19,360,360,427
153,19,456,456,432
154,19,550,550,435
155,19,575M,575M,436
156,20,147,147,437
157,20,Brava,BRAVA,440
